"header","class","mechanism","group","hessSRR094424","shiSRR873453","stewartERR2027897","stewartERR2027900","stewartERR2027917","hessSRR094417","stewartERR2027930","wallaceERR983267","shiSRR873460","shiSRR873452","stewartERR2027891","wallaceERR983263","shiSRR873606","stewartERR2027921","stewartERR2027890","stewartERR2027903","stewartERR2027904","wallaceERR2027890","shiSRR873603","stewartERR2027895","hessSRR094427","wallaceERR2282092","stewartERR2027928","shiSRR873601","hessSRR094416","wallaceERR983268","stewartERR2027914","stewartERR2027905","wallaceERR983265","shiSRR873461","shiSRR873450","stewartERR2027924","shiSRR873457","stewartERR2027919","stewartERR2027925","stewartERR2027910","shiSRR1267595","stewartERR2027927","shiSRR873463","stewartERR2027894","stewartERR2027899","stewartERR2027920","wallaceERR983264","shiSRR873455","wallaceERR2530126","stewartERR2027915","shiSRR873458","stewartERR2027916","stewartERR2027907","shiSRR873456","stewartERR2027901","hessSRR094403","stewartERR2027913","hessSRR094418","shiSRR873598","shiSRR873465","shiSRR873607","shiSRR873600","hessSRR094428","wallaceERR983269","shiSRR873602","stewartERR2027926","stewartERR2027923","shiSRR873464","shiSRR873608","stewartERR2027908","stewartERR2027893","shiSRR1222431","hessSRR094166","stewartERR2027898","stewartERR2027902","shiSRR873605","stewartERR2027909","stewartERR2027929","shiSRR873454","wallaceERR2530127","wallaceERR983266","shiSRR873595","shiSRR873610","hessSRR094405","wallaceERR983262","wallaceERR2027889","stewartERR2027892","stewartERR2027912","stewartERR2027906","shiSRR873451","hessSRR094419","shiSRR873609","shiSRR873596","stewartERR2027896","stewartERR2027922","stewartERR2027918","stewartERR2027889","shiSRR873462","shiSRR873459","shiSRR873599","stewartERR2027911","hessSRR094415","shiSRR873604","shiSRR873597"
"MEG_1003|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT9",8.36358356323508,0,0,3.8698328935796,0,0,0,0,0,0,0,0,0,4.89596083231334,0,0,0,0,0,0,9.07054871220605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95256916996047,0,0,15.6439485811302,0,0,5.71549534292972,0,2.85487708168121,0,0,0,0,0,0,0,0,0,0,7.4454062911902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73738237810094,0,3.1201248049922,0,0,0,9.06070673512534,0,0,0,0,0,0,0,0,0,0,4.85436893203883,0,6.04125469421817
"MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72711645896003,0,0,0
"MEG_1006|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3635456541064
"MEG_1009|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",0,0,0,0,0,0,0,0,0,0,0,0,0.902871826926416,4.37139360027977,0,0,0,0,0,0,0,0,5.22727272727273,0,0,0,4.67694439632773,0,0,0,0,0,0,6.18811881188119,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23394131641554,0,0,0,0,16.0748560460653,0,0,0,0,26.6076769690927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2464170134073,0,0,0,0,0,0,0,0,0,0,9.2464170134073,0,0,0,0,0,0,25.725222691896
"MEG_1010|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6647920030478
"MEG_1014|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,5.94509529638049,0,0,0,0,0,0,0,0,4.77272727272727,0,0,0,10.0467694439633,1.98216055500496,0,0,0,0,0,7.01320132013201,0,5.66071112683531,0,5.11415525114155,0,0,0,0,0,0,0,0,0,7.93021411578113,0,0,0,0,24.7120921305182,0,0,0,0,21.0929710867398,0,0,0,2.74203754482177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54785020804438,4.33350667360028,6.11298482293423,0,0,0,0,0,0,0,0,5.54785020804438,0,0,0,0,0,0,21.0446109468261
"MEG_1016|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",0,0,0,2.81442392260334,0,0,0,0,0,0,0,0,0,0,0,0,2.63808738664468,0,0,0,0,0,0,0,0,0,0,0,3.62723214285714,0,0,0,0,0,0,0,0,0,0,0,16.64962757412,0,0,0,0,0,0,0,4.0453074433657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0107268355835,0,0,0,0,0,0,0,0,0,0,20.0171086398631,0,0,0,17.4363807728558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81199542823969
"MEG_1038|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH3-DPRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62723214285714,0,0,0,0,0,0,0,0,0,0,0,4.23543157587264,0,0,0,0,0,0,0,1.79791441927364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12687257259109,0,0,0,0,0,0,0,0,0,0,16.082121471343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_1039|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH3-DPRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47320692497939,0,0,0,0,0,0,0,0,0,0,0,5.30133928571429,0,0,0,0,0,0,0,0,0,0,0,11.6839491748211,0,0,0,0,0,0,0,2.69687162891046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27094507120399,0,0,0,0,0,0,0,0,0,0,20.3592814371257,0,0,0,11.5457115928369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92084686417155
"MEG_1040|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH3-DPRIME",0,0,0,2.81442392260334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46428571428571,0,0,0,0,0,0,0,0,0,0,0,9.49320870454213,0,0,0,0,0,0,0,3.23624595469256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14407249861291,0,0,0,0,0,0,0,0,0,0,18.819503849444,0,0,0,10.3675777568332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28368498394441
