"","Acid resistance","Aminoglycosides","Arsenic resistance","betalactams","Biocide and metal resistance","Cationic antimicrobial peptides","Copper resistance","Drug and biocide and metal resistance","Drug and biocide resistance","Glycopeptides","Mercury resistance","Metronidazole","MLS","Multi-metal resistance","Nucleosides","Sulfonamides","Tetracyclines","Zinc resistance","Prevotella","Bacteroides","Methanobrevibacter","Fibrobacter","Olsenella","Streptomyces","Pseudomonas","Clostridium","Butyrivibrio","Ruminococcus"
"hessSRR094424",0,0.0120170429842613,0,0.000301440537955421,0,0,0,0,0,0,0,0.00105504188284398,0.135561288078606,0,0,0,0.851065186516333,0,0.154151161719398,0.0955188034735246,0.0521459679849841,0.457058934675439,0.0152907538722679,0.0524873240712257,0.0476627414360378,0.0285786563437421,0.0737903798796665,0.023315276543715
"shiSRR873453",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.592433687572507,0.139878224316466,0.0022709858065625,0.0397928273728535,0.0733527520373527,0.018587710001289,0.0238180490110425,0.0165315592729981,0.0340101831827101,0.0593240214262185
"stewartERR2027897",0,0.00904494382022472,0,0.00252808988764045,0,0,0,0,0,0,0,0.0236516853932584,0.011685393258427,0,0,0,0.953089887640449,0,0.368033706184213,0.0792772004191572,0.234424551538285,0.125047470836055,0.0230727169363777,0.0391702212938306,0.0324981644610059,0.0600534435303374,0.0225584700959215,0.0158640547048161
"stewartERR2027900",0,0.0100468628839217,0,0.000505714574694042,0,0,0,0,0,0,0,0.00745086140049224,0.0366811638178079,0,0.000573143184653248,0.000741714709551264,0.94400053942888,0,0.50007553563509,0.138297247053989,0.0702850583713157,0.0508867300647858,0.0551186686686444,0.0449614331077303,0.0431714085720073,0.0496703877479742,0.0144974985803672,0.0330360321980968
"stewartERR2027917",0,0.00800674252001685,0,0.00252844500632111,0,0,0,0,0,0,0,0.0123612866975699,0.0121505829470431,0,0,0,0.964952942829049,0,0.344747062076664,0.0865414223761058,0.283234758895129,0.0533743765505778,0.0279884120538533,0.0557986589207722,0.043805464212999,0.0474480669077218,0.0329420221645732,0.024119755841604
"hessSRR094417",0,0.00746951219512194,0,0,0,0,0,0,0,0,0,0,0.0759146341463415,0,0,0,0.916615853658536,0,0.154535322695843,0.0935829716429507,0.0415270267088398,0.403819136495279,0.0304447810628596,0.114970449961149,0.0786078125122635,0.0213089921592327,0.0357151266374175,0.0254883801241651
"stewartERR2027930",0,0.00458877515001764,0,0.00480056477232616,0,0,0,0,0,0,0,0.01701376632545,0.013483939286975,0,0,0,0.960112954465231,0,0.526664179487803,0.105806030687822,0.109359722661534,0.0619974389266922,0.0156539072588676,0.0402580538185856,0.0378551326450336,0.0490271616152605,0.02796183802518,0.0254165348732215
"wallaceERR983267",0,0.00666199158485273,0,0.00327255726975222,0,0,0,0,0,0,0,0.0273492286115007,0.0164796633941094,0,0,0,0.946236559139785,0,0.366272978864698,0.078892444478901,0.218285570889817,0.14482818067475,0.0190971566954299,0.0388685947100029,0.0349886718698199,0.0358154570576648,0.0323547923448159,0.0305961524141005
"shiSRR873460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650518396562684,0.119211215401735,0.00885114386452607,0.0232426983923433,0.0202118814092885,0.0280743556756116,0.0293663827516454,0.0216486927361052,0.0494927725080906,0.0493824606979704
"shiSRR873452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63474454159917,0.151877597830576,0.00235251098584274,0.0189747910548327,0.0323470260553377,0.0137813673458689,0.0209475760826345,0.0191499508401917,0.0446772521137439,0.0611473860918016
